RMIX Batch,Fin Batch,MDL,MDA,MDB,TDL,TDA,TDB,STR
24781,24829,-0.4,0,-0.3,-0.2,0,-0.2,101
24782,24830,-0.1,0,-0.1,-0.1,0,-0.1,100
24783,24831,-0.5,0,-0.2,-0.3,0,-0.2,102
24784,24828,1.2,0.2,0.7,1.1,-0.1,0.7,94
25312,25319,0.3,0.1,0.1,-0.1,0.1,0.1,101
25313,25320,0.1,0,0,0,0,0.1,100
25314,25321,0.8,-0.1,-0.3,0.7,-0.1,-0.1,95
25542,25548,0.2,-0.1,-0.4,0.3,-0.1,-0.3,98
25543,25549,-0.1,-0.1,-0.2,-0.1,-0.1,-0.3,100
25544,25550,0.1,0,-0.1,0,-0.1,-0.1,100
25545,25547,0.1,-0.1,-0.3,0.1,-0.1,-0.3,99
29192,29826,1.6,0.1,-0.2,0.8,-0.1,0.2,94
29198,29827,1.8,0.1,-0.2,0.8,0,0.2,95
31394,31400,1.2,0.2,0.3,0.5,0.2,0.5,97
31395,31401,0.3,0.1,0,0,0.1,0.1,100
31398,31402,0.5,0.1,0.1,0.3,0.1,0.3,99
31399,31403,0.6,0.1,-0.2,0,0.1,0.2,100
31716,31785,0.4,0.1,-0.1,-0.2,0.1,0.1,101
31718,31786,0.5,0.2,0,-0.2,0.2,0.3,102
31719,31787,0.4,0.1,-0.1,-0.3,0.2,0.2,102
32091,32123,0.7,0.2,0,-0.4,0.3,0.3,103
32092,32124,0.6,0.2,0,-0.3,0.2,0.1,102
32093,32125,0.4,0.1,0,-0.2,0.2,0.2,102
32095,32126,1.3,0,-0.1,0.9,0,0.2,94
32911,32957,0.8,0.2,0.7,0.2,0.2,0.8,99
32912,32958,1.3,0.3,1,0.7,0.2,1.1,97
32913,32959,1,0.4,1.1,0.8,0.2,1,96
32914,32960,0.4,0,-0.3,-0.3,0.2,0,102
33355,35352,1.2,0.3,0.9,1.2,0.1,1,93
34435,35353,0.1,0,-0.1,0.2,-0.1,-0.1,99
34436,35354,0.1,0,-0.2,-0.3,0,0,102
34437,35355,0.5,-0.1,-0.3,0.6,-0.2,-0.1,96
34438,35356,-0.2,-0.1,-0.1,0.4,-0.1,-0.2,97
36102,36126,0.1,0.1,0,0.1,0,0.1,100
36103,36127,0.4,0,-0.1,0.4,0,0,97
36104,36128,0.3,0.1,0.1,0.5,0,0.1,97
36106,36125,0.8,0.1,0.2,0.7,0.1,0.3,95
36960,36975,0.5,0,0.5,1.8,-0.2,0.7,89
36962,36976,0.6,-0.1,-0.2,1.1,-0.2,-0.1,93
36963,37033,1,0.3,1,1.3,0,0.8,92
37338,37359,0.4,0,0.1,0.6,0,0.1,96
37340,37360,0.9,0.1,0.1,0.8,-0.1,0.1,95
37657,37667,-0.6,-0.3,-0.5,0.1,-0.3,-0.5,99
37658,37668,-0.6,-0.3,-0.5,0.2,-0.2,-0.3,99
37659,37669,-1.4,-0.5,-0.7,0.1,-0.6,-1,99
37660,37670,-1,-0.4,-0.6,0,-0.4,-0.6,100
38051,38098,-0.8,-0.4,-0.6,0.6,-0.5,-0.7,95
38052,38099,0.4,-0.3,-0.6,0.5,-0.3,-0.4,96
38053,38100,-0.9,-0.5,-0.7,0.1,-0.5,-0.8,99
38054,38101,-0.4,-0.3,-0.5,0,-0.3,-0.4,100
38403,38438,-0.5,-0.3,-0.4,0.1,-0.3,-0.3,99
38404,38439,-0.2,-0.4,-0.5,0.4,-0.4,-0.4,97
38402,38728,-0.1,-0.4,-0.5,0.2,-0.3,-0.4,98
39195,39220,-0.8,-0.4,-0.6,-0.2,-0.3,-0.6,101
39196,39221,-0.8,-0.3,-0.4,0.1,-0.3,-0.6,99
39197,39222,-0.4,-0.2,-0.4,-0.1,-0.2,-0.3,100
39198,39223,-0.4,-0.2,-0.2,0.2,-0.3,-0.2,99
39422,39461,1.1,0.1,-0.2,1.2,-0.1,0,92
39423,39456,-0.4,-0.2,-0.6,-0.4,-0.1,-0.5,102
39426,39457,-0.3,-0.2,-0.6,-0.5,-0.1,-0.4,103
39428,39458,-0.1,0,0.3,0.1,0.1,0.2,100
